Value,Time of DA,Prime? (According to DA),Time of RA 10 iterations,Prime (According to RA 10 iterations),Time of RA 500 iterations,Prime (According to RA 500 iterations)
10000000000000819,2878147800,YES,1577000,YES,9329300,YES,
10000000000000820,22700,NO,246600,NO,81900,NO
10000000000000821,9300,NO,26000,NO,22500,NO
10000000000000822,3800,NO,49700,NO,43100,NO
10000000000000823,42200,NO,21300,NO,22100,NO
10000000000000824,3600,NO,52300,NO,78500,NO
10000000000000825,12400,NO,22600,NO,20300,NO
10000000000000826,3000,NO,39900,NO,52000,NO
10000000000000827,3100,NO,24800,NO,19100,NO
10000000000000828,2900,NO,58200,NO,43100,NO
10000000000000829,3500,NO,19900,NO,19400,NO
10000000000000830,2900,NO,43100,NO,35700,NO
10000000000000831,1266500,NO,89900,NO,12300,NO
10000000000000832,3700,NO,145100,NO,49200,NO
10000000000000833,3500,NO,11900,NO,11500,NO
10000000000000834,3000,NO,33600,NO,29600,NO
10000000000000835,3500,NO,11800,NO,12600,NO
10000000000000836,2800,NO,34600,NO,25300,NO
10000000000000837,8200,NO,11700,NO,11100,NO
10000000000000838,2800,NO,29800,NO,92100,NO
10000000000000839,4300,NO,12000,NO,9300,NO
10000000000000840,3000,NO,40600,NO,20800,NO
10000000000000841,6900,NO,8000,NO,8000,NO
10000000000000842,3000,NO,29100,NO,26200,NO
10000000000000843,3700,NO,11200,NO,7100,NO
10000000000000844,2900,NO,27400,NO,24500,NO
10000000000000845,4100,NO,16000,NO,14000,NO
10000000000000846,4800,NO,21900,NO,17900,NO
10000000000000847,5600,NO,8100,NO,7700,NO
10000000000000848,2800,NO,26500,NO,26500,NO
10000000000000849,4600,NO,14500,NO,16600,NO
10000000000000850,4700,NO,30300,NO,37700,NO
10000000000000851,3200,NO,8500,NO,7400,NO
10000000000000852,2800,NO,26000,NO,25700,NO
10000000000000853,15700,NO,7400,NO,7700,NO
10000000000000854,2600,NO,24200,NO,18600,NO
10000000000000855,3100,NO,8200,NO,7000,NO
10000000000000856,3300,NO,23600,NO,27700,NO
10000000000000857,2900,NO,8100,NO,13300,NO
10000000000000858,3200,NO,19100,NO,19500,NO
10000000000000859,247600,NO,12500,NO,11400,NO
10000000000000860,4300,NO,32000,NO,20300,NO
10000000000000861,3410797400,YES,101300,YES,1465300,YES,
10000000000000862,15600,NO,31900,NO,22800,NO
10000000000000863,2700,NO,3500,NO,3600,NO
10000000000000864,2100,NO,26900,NO,57300,NO
10000000000000865,5000,NO,27200,NO,10600,NO
10000000000000866,2500,NO,26300,NO,18700,NO
10000000000000867,16000,NO,4100,NO,4000,NO
10000000000000868,2500,NO,29000,NO,18300,NO
10000000000000869,2500,NO,6100,NO,3700,NO
10000000000000870,2300,NO,13900,NO,22900,NO
10000000000000871,5600,NO,9700,NO,3000,NO
10000000000000872,2400,NO,21600,NO,16800,NO
10000000000000873,2699100,NO,10100,NO,4200,NO
10000000000000874,4200,NO,23700,NO,18400,NO
10000000000000875,2600,NO,3700,NO,3700,NO
10000000000000876,2100,NO,21700,NO,15800,NO
10000000000000877,2375400,NO,6500,NO,4600,NO
10000000000000878,3500,NO,19800,NO,12400,NO
10000000000000879,2800,NO,3700,NO,3600,NO
10000000000000880,3200,NO,28200,NO,17900,NO
10000000000000881,3100,NO,4800,NO,3000,NO
10000000000000882,3900,NO,14300,NO,13000,NO
10000000000000883,4200,NO,4000,NO,3000,NO
10000000000000884,2000,NO,15900,NO,18300,NO
10000000000000885,2500,NO,3700,NO,3100,NO
10000000000000886,2000,NO,18700,NO,12000,NO
10000000000000887,2400,NO,4000,NO,2900,NO
10000000000000888,1600,NO,16500,NO,14400,NO
10000000000000889,3700,NO,5100,NO,3300,NO
10000000000000890,2000,NO,18000,NO,11700,NO
10000000000000891,38800,NO,3600,NO,3000,NO
10000000000000892,1900,NO,16100,NO,14500,NO
10000000000000893,2300,NO,3500,NO,3200,NO
10000000000000894,1700,NO,13300,NO,12000,NO
10000000000000895,2400,NO,3800,NO,3000,NO
10000000000000896,9900,NO,22000,NO,28000,NO
10000000000000897,3374548400,YES,53700,YES,1758500,YES,
10000000000000898,5600,NO,37000,NO,15100,NO
10000000000000899,2400,NO,3300,NO,3000,NO
10000000000000900,1600,NO,13800,NO,10600,NO
10000000000000901,2800,NO,3600,NO,2900,NO
10000000000000902,1700,NO,16000,NO,15500,NO
10000000000000903,4000,NO,3300,NO,2900,NO
10000000000000904,1700,NO,19200,NO,15700,NO
10000000000000905,2200,NO,3300,NO,2800,NO
10000000000000906,1700,NO,16200,NO,14100,NO
10000000000000907,2500,NO,3100,NO,3000,NO
10000000000000908,1700,NO,19400,NO,12000,NO
